train_kl_loss train_loss train_obs_loss train_reward_loss test_kl_loss test_loss test_obs_loss test_reward_loss test_avg_reward_planner test_std_reward_planner test_max_reward_planner test_min_reward_planner test_avg_feef_planner test_std_feef_planner test_max_feef_planner test_min_feef_planner 
0.0 1.0434762131084094 0.04471714568860603 0.9987590674198035 0.0 0.702748407017101 0.036201036337650185 0.6665473706794508 -1410.9725341261028 236.21973095697373 -728.2531402489273 -1590.6026366771416 0.0 0.0 0.0 0.0 
0.0 0.8520473169557976 0.04109128677483761 0.81095603018096 0.0 0.5533274755333409 0.029132469133897262 0.5241950063994436 -1320.8330877912495 234.1620078388045 -902.9912305656912 -1744.4215987565503 0.0 0.0 0.0 0.0 
0.0 0.7535982565446333 0.03429726398352421 0.7193009925611091 0.0 0.840556263923645 0.02485105124386874 0.8157052126797762 -1235.0532028344412 318.6571698026631 -745.9465150302857 -1716.8994191101174 0.0 0.0 0.0 0.0 
0.0 0.7058885530991987 0.0255207076217189 0.6803678454774799 0.0 1.0836944796822288 0.018513209892041756 1.065181269790187 -1217.7949270243566 350.78997369221673 -861.2842277161707 -1888.3470360784177 0.0 0.0 0.0 0.0 
0.0 0.6719880465305212 0.019049377152414032 0.6529386693781073 0.0 0.46800164020422735 0.014357696879993786 0.4536439433242335 -1257.8727882614567 263.11321691992003 -924.3769107700816 -1836.6670474193918 0.0 0.0 0.0 0.0 
0.0 0.5725313650839257 0.01390640392447963 0.558624961159446 0.0 0.323445613637115 0.011160219257528132 0.3122853943795869 -1237.0948907881516 325.23174860288896 -788.452585740844 -1829.6716300967596 0.0 0.0 0.0 0.0 
0.0 0.4137060326157194 0.01000020449811762 0.4037058281176018 0.0 0.21654541293780008 0.011719722639430653 0.20482569029836944 -1209.5699089637085 285.54459780443716 -740.091197343028 -1770.0891193493267 0.0 0.0 0.0 0.0 
0.0 0.26728105454733875 0.011348217725753784 0.25593283682158496 0.0 0.08563924377614801 0.01738524256330548 0.06825400121284253 -1320.0251018719227 303.7900923671611 -856.8498257644228 -1830.8726637831935 0.0 0.0 0.0 0.0 
0.0 0.25184437000390253 0.016662041346232098 0.23518232865767044 0.0 0.09323965283957394 0.0029257919752236567 0.0903138608643503 -1237.4947773413137 219.29436129599344 -1028.6547643118693 -1664.5370113241447 0.0 0.0 0.0 0.0 
0.0 0.18588691385406436 0.0030548895398775735 0.1828320243141868 0.0 0.5792350525205786 0.0106129835952412 0.5686220689253374 -1355.7408637405533 261.9428277222035 -904.875964907337 -1776.6927336918268 0.0 0.0 0.0 0.0 
0.0 0.3380713607325698 0.01117148543849136 0.3268998752940785 0.0 0.3583746353785197 0.027372457764365456 0.33100217761415424 -1211.7962207879652 274.66440995300525 -802.9699120681078 -1785.8759986437788 0.0 0.0 0.0 0.0 
0.0 0.2795176776972684 0.028600936586206608 0.25091674111106177 0.0 0.20588724902181915 0.02498423330711596 0.18090301571470319 -1295.79024252077 285.6063647632732 -962.3538727185347 -1820.7251315835945 0.0 0.0 0.0 0.0 
0.0 0.2725868315407724 0.026307028351408062 0.24627980318936435 0.0 0.39981157851941657 0.013872645118019798 0.3859389334013968 -1153.0861332453987 261.66222019636444 -740.9813220861531 -1630.466555198561 0.0 0.0 0.0 0.0 
0.0 0.2376404097585967 0.013270551508123224 0.22436985825047348 0.0 0.33456615832718933 0.004025530182954037 0.33054062814423535 -1162.0071487812122 251.36929966404387 -753.7837772305758 -1683.8104777254043 0.0 0.0 0.0 0.0 
0.0 0.18898114223371854 0.003210341614304167 0.18577080061941437 0.0 0.154476226505005 0.003452260611635266 0.15102396589336972 -1373.6480273464022 263.1012998215688 -1039.7960948316368 -1855.1312202761749 0.0 0.0 0.0 0.0 
0.0 0.20165588006828772 0.002774904171625773 0.19888097589666193 0.0 0.21152652213067719 0.010537564754486084 0.2009889573761911 -1307.9055567032083 238.62481155602396 -900.1207418267231 -1758.8000848186766 0.0 0.0 0.0 0.0 
0.0 0.23644727378180533 0.010428266994880907 0.2260190067869244 0.0 0.2887896750912522 0.015628711743788284 0.27316096334746387 -1438.4306530099602 319.4777832637131 -1031.2398711422634 -1868.9479319532825 0.0 0.0 0.0 0.0 
0.0 0.19436809330275565 0.01565374569459395 0.17871434760816168 0.0 0.2424799565112952 0.013815081480777624 0.22866487503051758 -1260.6830244233852 201.41743719115428 -854.2192752739109 -1629.822646211092 0.0 0.0 0.0 0.0 
0.0 0.2115947369373206 0.013455069426334265 0.19813966751098633 0.0 0.3370665813034231 0.00607737943981633 0.33098920186360675 -1333.7904418980572 299.1911693156603 -743.8874934996913 -1788.2827307222658 0.0 0.0 0.0 0.0 
0.0 0.22766577565308774 0.006843860402251735 0.220821915250836 0.0 0.2775260496771697 0.002002401559641867 0.27552364811752783 -1254.0567660832587 259.8973280429925 -965.7408019409212 -1896.5220390467712 0.0 0.0 0.0 0.0 
0.0 0.1706622023925637 0.002053522476644227 0.16860867991591943 0.0 0.07375791189119671 0.0006379753238323963 0.07311993656736432 -1449.1050336386388 305.52399268446004 -862.0236893148741 -1894.5933012863445 0.0 0.0 0.0 0.0 
0.0 0.22668641489563565 0.0007574580835573601 0.2259289568120783 0.0 0.052207176432465065 0.0023911857243740196 0.04981599070809104 -1210.296813333867 272.8872012997115 -861.8352962256703 -1785.6732406564556 0.0 0.0 0.0 0.0 
0.0 0.1767539937387813 0.002534399881507411 0.17421959385727392 0.0 0.1382478200124972 0.005053619092161005 0.13319420092033618 -1265.0218882976355 279.93059233481245 -746.4015686120929 -1641.5025891737746 0.0 0.0 0.0 0.0 
