train_loss_vae train_loss train_loss_mdrnn train_gmm train_recon train_bce train_kld train_mse test_loss_vae test_loss test_loss_mdrnn test_gmm test_best_reward_ctrl test_recon test_bce test_kld test_best_feef_ctrl test_mse 
-16208.825832201086 -16207.331756193382 1.4940760077060058 1.347847159733619 16227.152879105624 0.0 18.327048490989412 0.14622885653562492 -22497.755357142858 -357207392.3720977 1.383259473528181 1.225339617047991 42.38 22517.253571428573 0.0 19.498853410993302 -357184900.0 0.15791982582637243 
0.05050029154961768 -22457.020670634367 1.1645496267649078 32.59002215844029 -22458.185220261134 22490.775224382127 0.0 1.114049334684685 -227466110.0 0.08431954532287607 -227489780.4475499 92.89 0.7773109664655712 74.53555649012735 -23669.224860873288 23743.760477311644 0.0 0.6929914252398766 
0.13327489593707093 -24436.749596249894 0.67130129167793 1092.2412164880595 -24437.42089754157 25529.66213446101 0.0 0.5380263946734694 -25483696000.0 0.13941483123979848 -25483724508.501537 11.54 2.095616688422107 332.16748998799454 -28382.597154529816 28714.764263188074 0.0 1.9562018551957716 
0.2516124707296354 -25014.339756124828 0.23396448870317652 169.40663375154548 -25014.57372061353 25183.980419921874 0.0 -0.01764798268212279 -17659172.0 0.22504665923022896 -17691826.457876656 23.9 -0.14885286070884915 135.2160480744248 -32654.30902379587 32789.5252293578 0.0 -0.37389951999034354 
0.15552213823576586 2006718942.4473577 0.9415653744148552 51.79986113102064 2006718941.5057888 -2006718897.4545126 0.0 0.7860432374137326 -25327852.0 0.07005913061337597 -25348873.706586063 -10.3 -0.40856427446417853 84.63115027191442 -21021.298021788993 21105.92932912844 0.0 -0.4786234049622072 
0.11690975039377124 -22723.275773662655 -0.46871732664764476 88.90312866770893 -22722.80705633601 22811.710263761466 0.0 -0.5856270773148318 -32700130.0 0.18545697174257164 -32720948.166738104 -25.33 -0.4397993136983399 100.59827682075151 -20817.726938790136 20918.325365538993 0.0 -0.6252562857549125 
0.12275195548293788 -25317.086335818374 -1.0477033642453886 109.04120102628656 -25316.03863245413 25425.079845183485 0.0 -1.170455317541 -34248788.0 0.16200374750369187 -34274298.8966497 -4.5 -1.1329957454576405 110.14783512780426 -25509.763653956423 25619.91141055046 0.0 -1.2949994966524456 
0.12688344823657918 -25190.48899486874 -1.2467285269990973 109.71014443493765 -25189.242266341742 25298.952436926604 0.0 -1.3736119747161866 -18542496.0 0.18154638093135772 -18552851.64895733 32.85 -1.2555818284323457 107.7275525014335 -10354.39337550172 10462.121613388761 0.0 -1.4371282135674712 
0.11525873638894579 -27206.419192567002 -1.6330687137918736 120.66148460458179 -27204.78612385321 27325.44741972477 0.0 -1.7483274424841644 -18634374.0 0.07391556922277999 -18660799.155163568 -42.86 -1.8130262401125847 123.5955412978426 -26423.34213732798 26546.938180905963 0.0 -1.8869418179223296 
0.1605912549233218 -27488.67633988573 -1.7907392549952237 123.30919491829128 -27486.885600630732 27610.19478211009 0.0 -1.9513305051611105 -16775058.0 0.14804957191878504 -16802927.33428198 1.23 -1.8912272234575465 126.76456864383242 -27867.443054759173 27994.20756880734 0.0 -2.039276794556084 
0.1224637602173954 -29928.57298469106 -2.2074600350966147 138.65235746891128 -29926.365524655965 30065.01790424312 0.0 -2.329923793372758 -41085424.0 0.1300553465988316 -41116254.559392214 -31.85 -2.2385779958252514 140.3352490346366 -30828.320814220184 30968.65607081422 0.0 -2.3686333402581172 
