generation time avg_rew min_rew max_rew std_rew dist_std mean_run_time max_run_time avg_feef min_feef max_feef std_feef 
4 775 -72.98 -83.18 -53.63 7.71 0.08452 1000.0 1000.0 -8165114.5 -15851530.0 -1317123.5 4311063.0 
5 971 -73.16 -84.5 -51.68 11.03 0.08431 1000.0 1000.0 -9107428.0 -16775058.0 -3389107.8 4293672.5 
1 190 -74.47 -83.33 -57.16 8.22 0.08412 1000.0 1000.0 -9426576.0 -21400310.0 -1802366.0 5756472.5 
2 379 -73.89 -86.18 -31.85 13.41 0.08392 1000.0 1000.0 -6460586.0 -17122896.0 -972075.5 4883350.5 
3 571 -72.77 -85.06 -56.31 9.85 0.08373 1000.0 1000.0 -7911647.0 -15697838.0 -1366327.5 3993814.0 
4 763 -73.22 -84.01 -48.04 10.84 0.08355 1000.0 1000.0 -8799926.0 -21012244.0 -2109123.5 5152184.5 
5 953 -73.62 -85.66 -48.12 10.36 0.08337 1000.0 1000.0 -11879394.0 -41085424.0 -3185677.8 9213867.0 
1 189 -19.25 -89.9 111.29 42.83 0.1 1000.0 1000.0 -8477955600000.0 -134653450000000.0 -2969461.5 32579230000000.0 
2 379 -27.16 -93.39 4.38 27.21 0.09932 1000.0 1000.0 -27144672.0 -316670880.0 -1619227.8 74945300.0 
3 565 -41.42 -93.32 -0.18 30.08 0.09869 1000.0 1000.0 -3295791000.0 -52472254000.0 -1738421.0 12697333000.0 
4 755 -36.74 -93.46 25.1 27.69 0.09809 1000.0 1000.0 -96683100000.0 -693415600000.0 -2453174.5 194447720000.0 
5 941 -34.34 -64.89 -5.41 18.36 0.09752 1000.0 1000.0 -4694568.0 -11641420.0 -2260028.0 2372133.0 
1 192 -51.15 -74.08 29.1 24.36 0.09697 1000.0 1000.0 -27460664.0 -112840360.0 69946210.0 36930148.0 
2 384 -61.35 -93.16 46.84 30.7 0.09644 1000.0 1000.0 -19115814.0 -45846190.0 22591708.0 15906259.0 
3 578 -64.57 -92.27 -45.39 10.81 0.09593 1000.0 1000.0 -24408348.0 -85365020.0 -9567228.0 18690556.0 
4 771 -61.13 -93.06 -18.77 20.11 0.09544 1000.0 1000.0 -97805050.0 -1239752600.0 -4872038.0 295063680.0 
5 967 -61.05 -89.52 -44.91 12.59 0.09497 1000.0 1000.0 -30970668.0 -92010750.0 -4675968.5 21841188.0 
1 189 -31.35 -83.29 36.37 35.41 0.0945 1000.0 1000.0 -676739700.0 -1849536500.0 -10833889.0 578511940.0 
2 377 -47.59 -83.81 14.38 23.83 0.09406 1000.0 1000.0 -466624450.0 -1650789100.0 3540810.5 553644350.0 
3 565 -28.26 -60.46 30.76 29.14 0.09364 1000.0 1000.0 -21308540000.0 -329264230000.0 -7302640.0 79517500000.0 
4 751 -31.4 -89.51 39.79 36.55 0.09323 1000.0 1000.0 -699016640.0 -2635267000.0 -8126158.0 747295360.0 
5 942 -31.44 -83.72 60.05 36.57 0.09283 1000.0 1000.0 -960653700.0 -2543517400.0 -35276516.0 889368960.0 
1 191 -39.1 -89.51 38.26 32.57 0.09244 1000.0 1000.0 -896810560.0 -2152853200.0 -8905899.0 743655100.0 
2 380 -16.93 -81.16 80.63 41.53 0.09206 1000.0 1000.0 -1147950000.0 -6315729000.0 -13246756.0 1526676700.0 
3 572 -12.63 -89.96 84.86 41.74 0.09169 1000.0 1000.0 -1611088900.0 -3145030700.0 -11145438.0 884566700.0 
4 762 -27.15 -89.88 38.28 45.79 0.09134 1000.0 1000.0 -951263550.0 -2312708000.0 -5165372.0 772457540.0 
5 953 -40.23 -91.69 24.13 28.2 0.09099 1000.0 1000.0 -1072257900.0 -3081537000.0 -11140623.0 990533440.0 
1 188 -69.25 -89.86 -31.29 16.46 0.09065 1000.0 1000.0 -315095800.0 -2139764400.0 -5779650.0 580704800.0 
2 380 -73.72 -92.41 -46.1 16.32 0.09032 1000.0 1000.0 -232539840.0 -1617954300.0 162451220.0 426484500.0 
3 571 -66.93 -89.76 -24.44 17.77 0.09 1000.0 1000.0 -188352740.0 -1961047800.0 -11493882.0 471741820.0 
4 760 -60.06 -89.31 -9.38 20.9 0.08969 1000.0 1000.0 -609489500.0 -6123742700.0 -11222631.0 1458590600.0 
5 951 -63.66 -84.04 -24.68 20.21 0.08939 1000.0 1000.0 -474236100000.0 -7585144500000.0 -10873793.0 1836028700000.0 
1 188 -49.69 -81.59 37.55 31.75 0.08909 1000.0 1000.0 -6484378600.0 -32250444000.0 3280332300.0 9196214000.0 
2 377 -51.2 -80.12 -28.26 13.75 0.08881 1000.0 1000.0 -2609243600.0 -9658289000.0 2386228000.0 3432309200.0 
3 564 -49.92 -73.41 -28.75 14.73 0.08853 998.23 1000.0 133764830000.0 -85356870000.0 2293080300000.0 557948900000.0 
4 752 -48.78 -84.97 34.44 34.86 0.08826 1000.0 1000.0 -5274393600.0 -30827588000.0 4971914000.0 10028144000.0 
5 940 -47.91 -81.21 -21.2 18.27 0.088 1000.0 1000.0 -3310831600.0 -21142050000.0 20525126000.0 8365896000.0 
1 190 -56.81 -90.98 -11.75 18.99 0.08776 1000.0 1000.0 -6715851000.0 -22990360000.0 2289258200.0 9066520000.0 
2 379 -41.53 -69.58 14.66 25.29 0.08751 1000.0 1000.0 -68009876000000.0 -1084734500000000.0 5274688500.0 262518450000000.0 
